star,buildName,category,rarity,baseIncome
1,木屋,Residence,Common,1
2,木屋,Residence,Common,2
3,木屋,Residence,Common,6
4,木屋,Residence,Common,24
5,木屋,Residence,Common,120
1,钢结构房,Residence,Common,1
2,钢结构房,Residence,Common,2
3,钢结构房,Residence,Common,6
4,钢结构房,Residence,Common,24
5,钢结构房,Residence,Common,120
1,平房,Residence,Common,1.1
2,平房,Residence,Common,2.2
3,平房,Residence,Common,6.6
4,平房,Residence,Common,26.4
5,平房,Residence,Common,132
1,小型公寓,Residence,Common,1.18
2,小型公寓,Residence,Common,2.36
3,小型公寓,Residence,Common,7.08
4,小型公寓,Residence,Common,28.32
5,小型公寓,Residence,Common,141.6
1,居民楼,Residence,Common,1
2,居民楼,Residence,Common,2
3,居民楼,Residence,Common,6
4,居民楼,Residence,Common,24
5,居民楼,Residence,Common,120
1,人才公寓,Residence,Rare,1.4
2,人才公寓,Residence,Rare,2.8
3,人才公寓,Residence,Rare,8.4
4,人才公寓,Residence,Rare,33.6
5,人才公寓,Residence,Rare,168
1,花园洋房,Residence,Rare,1.022
2,花园洋房,Residence,Rare,2.044
3,花园洋房,Residence,Rare,6.132
4,花园洋房,Residence,Rare,24.528
5,花园洋房,Residence,Rare,122.64
1,中式小楼,Residence,Rare,1.4
2,中式小楼,Residence,Rare,2.8
3,中式小楼,Residence,Rare,8.4
4,中式小楼,Residence,Rare,33.6
5,中式小楼,Residence,Rare,168
1,空中别墅,Residence,Legendary,1.52
2,空中别墅,Residence,Legendary,3.04
3,空中别墅,Residence,Legendary,9.12
4,空中别墅,Residence,Legendary,36.48
5,空中别墅,Residence,Legendary,182.4
1,复兴公馆,Residence,Legendary,1.672
2,复兴公馆,Residence,Legendary,3.344
3,复兴公馆,Residence,Legendary,10.032
4,复兴公馆,Residence,Legendary,40.128
5,复兴公馆,Residence,Legendary,200.64
1,便利店,Business,Common,1
2,便利店,Business,Common,2
3,便利店,Business,Common,6
4,便利店,Business,Common,24
5,便利店,Business,Common,120
1,学校,Business,Common,1
2,学校,Business,Common,2
3,学校,Business,Common,6
4,学校,Business,Common,24
5,学校,Business,Common,120
1,服装店,Business,Common,1
2,服装店,Business,Common,2
3,服装店,Business,Common,6
4,服装店,Business,Common,24
5,服装店,Business,Common,120
1,五金店,Business,Common,1
2,五金店,Business,Common,2
3,五金店,Business,Common,6
4,五金店,Business,Common,24
5,五金店,Business,Common,120
1,菜市场,Business,Common,1
2,菜市场,Business,Common,2
3,菜市场,Business,Common,6
4,菜市场,Business,Common,24
5,菜市场,Business,Common,120
1,图书城,Business,Rare,1
2,图书城,Business,Rare,2
3,图书城,Business,Rare,6
4,图书城,Business,Rare,24
5,图书城,Business,Rare,120
1,商贸中心,Business,Rare,1.022
2,商贸中心,Business,Rare,2.044
3,商贸中心,Business,Rare,6.132
4,商贸中心,Business,Rare,24.528
5,商贸中心,Business,Rare,122.64
1,加油站,Business,Rare,1.204
2,加油站,Business,Rare,2.408
3,加油站,Business,Rare,7.224
4,加油站,Business,Rare,28.896
5,加油站,Business,Rare,144.48
1,民食斋,Business,Legendary,1.52
2,民食斋,Business,Legendary,3.04
3,民食斋,Business,Legendary,9.12
4,民食斋,Business,Legendary,36.48
5,民食斋,Business,Legendary,182.4
1,媒体之声,Business,Legendary,1.615
2,媒体之声,Business,Legendary,3.23
3,媒体之声,Business,Legendary,9.69
4,媒体之声,Business,Legendary,38.76
5,媒体之声,Business,Legendary,193.8
1,木材厂,Industrial,Common,1
2,木材厂,Industrial,Common,2
3,木材厂,Industrial,Common,6
4,木材厂,Industrial,Common,24
5,木材厂,Industrial,Common,120
1,造纸厂,Industrial,Common,1
2,造纸厂,Industrial,Common,2
3,造纸厂,Industrial,Common,6
4,造纸厂,Industrial,Common,24
5,造纸厂,Industrial,Common,120
1,水厂,Industrial,Common,1.26
2,水厂,Industrial,Common,2.52
3,水厂,Industrial,Common,7.56
4,水厂,Industrial,Common,30.24
5,水厂,Industrial,Common,151.2
1,电厂,Industrial,Common,1.18
2,电厂,Industrial,Common,2.36
3,电厂,Industrial,Common,7.08
4,电厂,Industrial,Common,28.32
5,电厂,Industrial,Common,141.6
1,食品厂,Industrial,Common,1
2,食品厂,Industrial,Common,2
3,食品厂,Industrial,Common,6
4,食品厂,Industrial,Common,24
5,食品厂,Industrial,Common,120
1,钢铁厂,Industrial,Rare,1
2,钢铁厂,Industrial,Rare,2
3,钢铁厂,Industrial,Rare,6
4,钢铁厂,Industrial,Rare,24
5,钢铁厂,Industrial,Rare,120
1,纺织厂,Industrial,Rare,1
2,纺织厂,Industrial,Rare,2
3,纺织厂,Industrial,Rare,6
4,纺织厂,Industrial,Rare,24
5,纺织厂,Industrial,Rare,120
1,零件厂,Industrial,Rare,1
2,零件厂,Industrial,Rare,2
3,零件厂,Industrial,Rare,6
4,零件厂,Industrial,Rare,24
5,零件厂,Industrial,Rare,120
1,企鹅机械,Industrial,Legendary,1.33
2,企鹅机械,Industrial,Legendary,2.66
3,企鹅机械,Industrial,Legendary,7.98
4,企鹅机械,Industrial,Legendary,31.92
5,企鹅机械,Industrial,Legendary,159.6
1,人民石油,Industrial,Legendary,1
2,人民石油,Industrial,Legendary,2
3,人民石油,Industrial,Legendary,6
4,人民石油,Industrial,Legendary,24
5,人民石油,Industrial,Legendary,120
